headline,pub_date,web_url,snippet,lead_paragraph,source
Climate Change Comes to the Tetons,2024-08-29T19:19:00+0000,https://www.nytimes.com/2024/08/29/climate/grand-teton-yellowstone-climate-change.html,"In one of North America’s most stunning mountain ranges, melting glaciers and warmer temperatures are raising fears of ecological tipping points.","On the wall of my hotel room here at the Jackson Lake Lodge in Moran, Wyo., there is a framed photograph of the spectacular Teton Range taken during the 1950s.",The New York Times
"Climate Change Is Making ‘Last Chance Tourism’ More Popular, and Riskier",2024-09-04T09:03:23+0000,https://www.nytimes.com/2024/09/04/climate/climate-change-iceland-glacier-tourism.html,"More tourists are eager to visit vanishing glaciers and ice caves, but warming is also making the sites unstable.","An American tourist was visiting an ice cave in one of Europe’s largest national parks last month when a frozen arch collapsed, killing him and injuring his girlfriend.",The New York Times
Court Orders South Korea to Take Stronger Action on Climate Change,2024-08-29T12:15:55+0000,https://www.nytimes.com/2024/08/29/world/asia/south-korea-climate-action-verdict-youth.html,A ruling by the Constitutional Court declared the nation’s current measures insufficient and a violation of the rights of future generations.,"A top South Korean court on Thursday ruled the nation’s measures for fighting climate change insufficient for protecting the rights of citizens, and ordered the government to set firm carbon-reduction targets for 2031 and beyond. It is the first climate litigation ruling of its kind in Asia.",The New York Times
"Climate Change Can Cause Bridges to ‘Fall Apart Like Tinkertoys,’ Experts Say",2024-09-02T14:41:36+0000,https://www.nytimes.com/2024/09/02/climate/climate-change-bridges.html,"Extreme heat and flooding are accelerating the deterioration of bridges, engineers say, posing a quiet but growing threat.","On a 95-degree day this summer, New York City’s Third Avenue Bridge, connecting the Bronx and Manhattan, got stuck in the open position for hours. As heat and flooding scorched and scoured the Midwest, a steel railroad bridge connecting Iowa with South Dakota collapsed under surging waters. In Lewiston, Maine, a bridge closed after the pavement buckled from fluctuating temperatures.",The New York Times
"In Threatened Island Nation, Pope Hears Plea for Climate Action",2024-09-07T09:00:06+0000,https://www.nytimes.com/2024/09/07/world/asia/pope-francis-papua-new-guinea-climate-change.html,"Pope Francis is visiting Papua New Guinea, which has been exploited for its natural resources and is imperiled by rising sea levels.","In the Pacific island nation of Papua New Guinea, hundreds of people may soon have to abandon their homes, pushed inland by the rising sea. Hundreds more were buried in a devastating landslide this year. Around the country, intensive logging is shrinking the island’s lush rainforests, and mine tailings have polluted its rivers.",The New York Times
U.S. Election Looms Over Climate Talks with China,2024-09-05T19:36:37+0000,https://www.nytimes.com/2024/09/05/climate/us-election-looms-over-climate-talks-with-china.html,Experts believe the outcome of the race for the White House could determine how ambitious China’s climate efforts will be.,"As John Podesta, President Biden’s climate envoy, wraps up three days of talks in Beijing, China’s willingness to fight global warming could depend on the outcome of this fall’s presidential election in the United States, energy experts said.",The New York Times
Biden’s Top Climate Negotiator to Visit China This Week,2024-09-03T12:15:06+0000,https://www.nytimes.com/2024/09/03/climate/podesta-china-climate-change.html,John Podesta is expected to push for China to set more ambitious greenhouse gas targets.,"John Podesta, President Biden’s top climate diplomat, is traveling to Beijing on Tuesday where he is expected to press Chinese leaders to make more ambitious plans to cut the greenhouse gas emissions that are driving climate change.",The New York Times
The Killer Climate Disaster That Has No Name,2024-09-07T11:00:15+0000,https://www.nytimes.com/2024/09/07/opinion/heat-wave-names.html,Heat waves are America’s deadliest weather events. It’s time we name them.,"Do you remember the heat dome that settled over Washington and Oregon in 2021, leading to thousands of hospitalizations and over 600 estimated fatalities? Or last summer’s heat wave in Phoenix, when the temperature hit or exceeded 110 degrees for 31 straight days, accounting for most of Maricopa County’s 645 heat-related deaths in 2023?",The New York Times
"It’s Been the Hottest Summer on Record, European Officials Say",2024-09-06T02:00:09+0000,https://www.nytimes.com/2024/09/05/climate/2024-hottest-summer-on-record.html,"The excessive heat worldwide suggests the full year will also be a record-breaker, according to Copernicus, the E.U. agency that tracks global warming.","The summer of “brat,” the Paris Olympics and political conventions may be winding down, but the heat in 2024 is still going strong.",The New York Times
My Teenage Son Thinks the World Is Falling Apart. I’ve Changed How I Talk to Him About It.,2024-09-08T10:00:22+0000,https://www.nytimes.com/2024/09/08/opinion/kids-world-parents-doom.html,My instinct to minimize what is happening in much of the world was robbing my sons of a sense of urgency that demands their attention.,"Within our marriage, my wife and I have a clash of cultures, which means we talk to our kids quite differently about the state of the world and its future. We play somewhat typecast roles. I’m the upbeat dad from America; she’s the no-nonsense mom from Poland. We’ve created two different schools of child-rearing; it’s pretty much Disney versus the Iron Curtain.",The New York Times
"Shocked by Extreme Storms, a Maine Fishing Town Fights to Save Its Waterfront",2024-09-07T10:35:27+0000,https://www.nytimes.com/2024/09/07/us/maine-stonington-fishermen-storms.html,"After two devastating storms hit Stonington in January, plans are multiplying to raise and fortify wharves, roads and buildings. But will that be enough?",,The New York Times
The Electric Vehicle Future Is Coming. Just a Little More Slowly.,2024-09-05T19:39:01+0000,https://www.nytimes.com/2024/09/05/climate/electric-vehicle-sales-projections.html,"Though large automakers are delaying their plans to introduce new all-electric models, the E.V. industry is still the future, experts say.","The race to electrify America’s cars is looking more like a slog these days. In the past few months, several automakers announced plans to pull back on introducing new electric models or have scaled back some of their decarbonization goals.",The New York Times
