headline,pub_date,web_url,snippet,lead_paragraph,source
"Father of Georgia Shooting Suspect Charged, and a Pivotal Jobs Report",2024-09-06T10:00:37+0000,https://www.nytimes.com/2024/09/06/podcasts/father-charged-georgia-shooting-jobs-report-hunter-biden.html,"Plus, the Taliban codifies dire restrictions on women.",On Today’s Episode:,The New York Times
"A School Shooting in Georgia, and 2 High-Profile Cases Return to Court",2024-09-05T10:00:14+0000,https://www.nytimes.com/2024/09/05/podcasts/school-shooting-georgia-trump-court.html,"Plus, bogus bands, fake fans and $10 million.",On Today’s Episode:,The New York Times
"N.Y. Official Accused of Aiding China, and Zelensky Plans Cabinet Shake-Up",2024-09-04T10:00:19+0000,https://www.nytimes.com/2024/09/04/podcasts/china-agent-strikes-ukraine.html,"Plus, robot taxis — with human helpers.",On Today’s Episode:,The New York Times
"Netanyahu Unwavering on Cease-Fire, and Putin Visits Mongolia",2024-09-03T10:00:12+0000,https://www.nytimes.com/2024/09/03/podcasts/netanyahu-cease-fire-putin-mongolia.html,"Plus, battling mpox in Congo.",On Today’s Episode:,The New York Times
"Israelis Go on Strike After Hostage Deaths, and German Far Right Makes Election Gains",2024-09-02T10:00:16+0000,https://www.nytimes.com/2024/09/02/podcasts/israel-hostage-protest.html,"Plus, the U.S. coffee wars are heating up.",On Today’s Episode:,The New York Times
How Media Outlets on the Left and Right Covered Trump’s Arlington Cemetery Visit,2024-09-04T20:37:51+0000,https://www.nytimes.com/2024/09/04/business/media/trump-arlington-cemetery-media.html,"Liberal outlets criticized Mr. Trump for turning his visit into a photo opportunity, while conservative ones falsely suggested the altercation never happened.","Former President Donald J. Trump’s visit to Arlington National Cemetery and his campaign’s attempt to film gravesites there last week reignited questions surrounding his politicization of the military. Liberal outlets criticized Mr. Trump for turning his visit into a photo opportunity, while conservative ones falsely suggested that an altercation with a cemetery official hadn’t happened — a line that Mr. Trump echoed on Tuesday, contradicting his campaign’s original account.",The New York Times
"What’s Going On in This Graph? | Sept. 11, 2024",2024-09-05T18:30:02+0000,https://www.nytimes.com/2024/09/05/learning/whats-going-on-in-this-graph-sept-11-2024.html,America isn’t making electricity the way it did two decades ago. How have energy sources changed since 2001?,The above graph of the power produced by energy source between 2001 and 2023 was previously published in a New York Times article. Comparable graphs were published for each of the 50 states.,The New York Times
Harris Opens $110 Million Cash Edge Over Trump After August Fund-Raising Haul,2024-09-06T09:07:30+0000,https://www.nytimes.com/2024/09/06/us/politics/harris-august-fundraising-trump.html,"Vice President Kamala Harris’s campaign reported raising $361 million in August, her first full month as the Democrats’ nominee, far surpassing the $130 million reported by Mr. Trump in the same month.","Vice President Kamala Harris in August raised almost triple the sum collected by former President Donald J. Trump, opening up a $110 million cash lead over her Republican rival once Ms. Harris took over the top of the Democratic ticket.",The New York Times
South Korean Teenagers Detained Over Deepfake Sexual Images,2024-09-03T15:27:07+0000,https://www.nytimes.com/2024/09/03/world/asia/south-korean-teens-deepfake-sex-images.html,"The country has been hit by a wave of sexually explicit videos and pictures that have spread online, prompting the authorities to launch a sweeping investigation.","The authorities in South Korea are investigating a surge of sexually explicit images and video clips that have spread online and shocked the nation, leading the police to detain seven male suspects — six of them teenagers — the police said on Tuesday.",The New York Times
House Republican Subpoenas Blinken Over Afghanistan Withdrawal,2024-09-04T01:22:48+0000,https://www.nytimes.com/2024/09/03/us/politics/blinken-subpoena-house-afghanistan.html,"The chairman of the House Foreign Affairs Committee summoned the secretary of state for testimony just days before an expected report on the U.S. exit, in which 13 American service members were killed.","The Republican chairman of the House Foreign Affairs Committee on Tuesday issued a subpoena for Secretary of State Antony J. Blinken’s testimony, threatening to hold him in contempt if he failed to address the panel later this month about the chaotic U.S. withdrawal from Afghanistan.",The New York Times
"20 Pop and Jazz Albums, Shows and Festivals Coming This Fall",2024-09-06T09:02:38+0000,https://www.nytimes.com/2024/09/06/arts/music/albums-tours-festivals-fall.html,Anticipated debuts and long-awaited follow-ups are due this season. Our critics plucked out a list of the most notable.,"Some of the year’s buzziest artists (Charli XCX, Chappell Roan) are headlining tours and festivals this fall, and a bevy of new albums from established stars (Shawn Mendes, Jelly Roll) and up-and-comers (Flo, Nemahsis) are on the way. Dates and lineups are subject to change.",The New York Times
12 Video Games Coming This Fall,2024-09-06T09:00:27+0000,https://www.nytimes.com/2024/09/06/arts/fall-video-games.html,"The calendar brings a Legend of Zelda game with Zelda in charge, an Assassin’s Creed set in Japan and new role-playing games.","The video game industry will generate headlines galore next year if Grand Theft Auto VI is released as planned, but there is enough to keep fans busy as 2024 winds down.",The New York Times
Tucker Carlson Criticized for Hosting Holocaust Revisionist,2024-09-06T16:13:59+0000,https://www.nytimes.com/2024/09/06/business/media/tucker-carlson-holocaust-interview-biden-administration.html,Mr. Carlson’s guest on “Tucker on X” made a variety of false claims about the Holocaust and World War II.,"Tucker Carlson, the former Fox News star turned podcaster, has come under fire for hosting a Holocaust revisionist on his show, drawing rebukes from conservative lawmakers as well as the White House.",The New York Times
"What Harris, Trump, Walz and Vance Said After Georgia School Shooting",2024-09-06T20:07:46+0000,https://www.nytimes.com/2024/09/06/us/politics/trump-harris-georgia-school-shooting.html,"The presidential candidates and their running mates all expressed regret, but have very different approaches to how they would regulate guns in America.","The school shooting in Georgia this week underscored the chasm between Vice President Kamala Harris and former President Donald J. Trump, as well as between their respective running mates, on guns.",The New York Times
The Best Movies and TV Shows Coming to Netflix in September,2024-09-03T20:27:26+0000,https://www.nytimes.com/2024/09/03/arts/television/new-netflix-movies-shows-september.html,"A glitzy mystery starring Nicole Kidman arrives early this month; later, a new true-crime series tells the troubling tale of Lyle and Erik Menendez.","Every month, Netflix adds movies and TV shows to its library. Here are our picks for some of September’s most promising new titles. (Note: Streaming services occasionally change schedules without giving notice. For more recommendations on what to stream, sign up for our Watching newsletter here.)",The New York Times
Can ‘The Secret Lives of Mormon Wives’ Change a Conservative Religious Culture?,2024-09-07T13:00:02+0000,https://www.nytimes.com/2024/09/07/opinion/mormon-wives-reality-tv-show.html,A seemingly frothy reality show has a deeper conflict at its core.,"In the seventh episode of the new reality show “The Secret Lives of Mormon Wives,” a character makes this observation of a fellow married mom struggling with a controlling husband: “It’s kind of a theme with our church, though, and kind of what the problem is. Everyone is getting married before their brains even develop.”",The New York Times
"Trump, Trailing Among Women, Lashes Out at His Female Accusers",2024-09-06T21:42:08+0000,https://www.nytimes.com/2024/09/06/us/politics/trump-news-conference-allegations.html,"Mr. Trump’s news conference had little to do with the issues in the 2024 presidential race, and seemed like more of a venting exercise over his frustrations about his legal travails.","If any voters had forgotten that Donald J. Trump was accused by multiple women of sexual misconduct, he spent roughly 45 minutes reminding them on Friday, eight weeks before Election Day.",The New York Times
I Love Taylor Swift. Her Political Endorsement Shouldn’t Matter.,2024-09-08T10:00:30+0000,https://www.nytimes.com/2024/09/08/opinion/taylor-swift-endorsement-election-harris.html,It’s seductive to think that superstars can sway elections. But we shouldn’t hope that celebrities will save us from the hard work of winning people over.,"The conventions are over. The first debate between Donald Trump and Kamala Harris looms. But for many observers, there’s a highly anticipated event in this election season that’s yet to happen and could occur at any moment: an endorsement announcement from Taylor Swift.",The New York Times
