headline,pub_date,web_url,snippet,lead_paragraph,source
佐治亚州枪击嫌疑人被指控的父亲和一份关键工作报告,2024-09-06T10:00:37+0000,https://www.nytimes.com/2024/09/06/podcasts/father-charged-georgia-shooting-jobs-report-hunter-biden.html,另外，塔利班将严重限制限制在女性中。,在今天的情节中：,The New York Times
佐治亚州的学校枪击事件和2个备受瞩目的案件返回法庭,2024-09-05T10:00:14+0000,https://www.nytimes.com/2024/09/05/podcasts/school-shooting-georgia-trump-court.html,另外，伪造的乐队，假粉丝和1000万美元。,在今天的情节中：,The New York Times
纽约州官员被指控协助中国，Zelensky计划机柜改头换面,2024-09-04T10:00:19+0000,https://www.nytimes.com/2024/09/04/podcasts/china-agent-strikes-ukraine.html,另外，机器人出租车 - 与人助手一起。,在今天的情节中：,The New York Times
内塔尼亚胡在停火上坚定不移，普京访问蒙古,2024-09-03T10:00:12+0000,https://www.nytimes.com/2024/09/03/podcasts/netanyahu-cease-fire-putin-mongolia.html,另外，在刚果与MPOX作战。,在今天的情节中：,The New York Times
以色列人在人质死亡后继续罢工，德国最右边的选举获得了,2024-09-02T10:00:16+0000,https://www.nytimes.com/2024/09/02/podcasts/israel-hostage-protest.html,另外，美国咖啡大战正在加热。,在今天的情节中：,The New York Times
左右媒体如何涵盖特朗普的阿灵顿公墓参观,2024-09-04T20:37:51+0000,https://www.nytimes.com/2024/09/04/business/media/trump-arlington-cemetery-media.html,自由派媒体批评特朗普先生将访问变成了摄影机会，而保守的人则错误地表明，这种争执从未发生。,前总统唐纳德·J·特朗普（Donald J. Trump）访问了阿灵顿国家公墓，他的竞选活动上周试图拍摄墓地的企图重新点燃了围绕他对军队政治化的问题。自由派媒体批评特朗普先生将访问变成了摄影机会，而保守的人则错误地暗示，与一名墓地官员的争执没有发生 - 特朗普周二在周二回应了这一行，与他的竞选原始帐户相矛盾。,The New York Times
该图中发生了什么？|2024年9月11日,2024-09-05T18:30:02+0000,https://www.nytimes.com/2024/09/05/learning/whats-going-on-in-this-graph-sept-11-2024.html,美国并没有像二十年前那样发电。自2001年以来，能源发生了什么变化？,上述2001年至2023年能源产生的功率的图以前在《纽约时报》的一篇文章中发表。为50个状态中的每一个都发布了可比的图。,The New York Times
哈里斯在八月筹款后开放了1.1亿美元的现金优先于特朗普,2024-09-06T09:07:30+0000,https://www.nytimes.com/2024/09/06/us/politics/harris-august-fundraising-trump.html,副总统卡马拉·哈里斯（Kamala Harris）的竞选活动报告说，八月份筹集了3.61亿美元，这是她作为民主党提名人的第一个整个月，远远超过了特朗普先生在同月的1.3亿美元。,副总统卡马拉·哈里斯（Kamala Harris）在八月份筹集了前总统唐纳德·J·特朗普（Donald J. Trump）收集的款项的三倍，一旦哈里斯（Harris）占领了民主党票的顶部，就以1.1亿美元的现金领先优势。,The New York Times
韩国青少年因深层性图像被拘留,2024-09-03T15:27:07+0000,https://www.nytimes.com/2024/09/03/world/asia/south-korean-teens-deepfake-sex-images.html,该国受到了一波性露骨的视频和图片的打击，这些视频和图片已经在网上传播，促使当局进行了全面的调查。,韩国当局正在调查一系列有性明确的图像和视频片段，这些图像和视频片段已经在网上传播并震惊了国家，导致警察拘留了七名男性嫌疑人，其中6名是青少年 - 警方周二说。,The New York Times
众议院共和党传票眨眼在阿富汗撤离,2024-09-04T01:22:48+0000,https://www.nytimes.com/2024/09/03/us/politics/blinken-subpoena-house-afghanistan.html,众议院外交委员会主席在美国退出的预期报告之前几天召集了证词国务卿，其中13名美国服役人员被杀。,众议院外交事务委员会的共和党主席周二发布了一项传票给国务卿安东尼·J·布林肯（Antony J. Blinken）的证词，威胁说，如果他在本月晚些时候未能在小组中谈到有关美国混乱的美国从阿富汗撤离的小组的讲话。,The New York Times
今年秋天即将到来的20张流行和爵士专辑，节目和节日,2024-09-06T09:02:38+0000,https://www.nytimes.com/2024/09/06/arts/music/albums-tours-festivals-fall.html,预期的首次亮相和期待已久的后续活动将于本赛季进行。我们的批评家列出了最著名的清单。,今年秋天，今年最嗡嗡的艺术家（Charli XCX，Chappell Roan）是巡回演出和节日的头条新闻，以及来自成熟的明星（Shawn Mendes，Jelly Roll）和新兴明星（Flo，Nemahsis）的一系列新专辑。道路。日期和阵容可能会发生变化。,The New York Times
今年秋天即将到来的12场视频游戏,2024-09-06T09:00:27+0000,https://www.nytimes.com/2024/09/06/arts/fall-video-games.html,该日历与塞尔达（Zelda）的塞尔达（Zelda）传奇（Zelda）一起负责，这是一个刺客在日本的信条和新的角色扮演游戏。,如果按计划发布大盗窃Auto VI，则视频游戏行业将在明年引起头条新闻，但有足够的时间让粉丝忙于2024年的流行。,The New York Times
塔克·卡尔森（Tucker Carlson）批评主持大屠杀修正主义者,2024-09-06T16:13:59+0000,https://www.nytimes.com/2024/09/06/business/media/tucker-carlson-holocaust-interview-biden-administration.html,卡尔森先生在“ X上的塔克”上的客人就大屠杀和第二次世界大战作出了各种各样的虚假主张。,前福克斯新闻明星塔克·卡尔森（Tucker Carlson）因在演出中举办大屠杀的修正主义而受到了抨击，他从保守派立法者和白宫中汲取了谴责。,The New York Times
哈里斯，特朗普，沃尔兹和万斯在佐治亚州学校枪击事件发生后说,2024-09-06T20:07:46+0000,https://www.nytimes.com/2024/09/06/us/politics/trump-harris-georgia-school-shooting.html,总统候选人及其竞选伙伴都感到遗憾，但对他们如何调节美国的枪支采取了截然不同的方法。,佐治亚州的学校枪击事件强调了副总统卡马拉·哈里斯（Kamala Harris）与前总统唐纳德·J·特朗普（Donald J. Trump）以及各自的竞选伴侣之间的鸿沟。,The New York Times
